id,Authors,Countr_1,Country,year,Evaluation type,Prevention type,Intervention type,Intervention/policy description,Comparators,CVD outcomes assesed,Multimorbidity,Model type,CVD risk equation,Perspective,Discount rate,Minimum age (years),Time Horizon,Cycle length,Software,Outcome measure,Equity dimensions,Sensitivity analysis,EVPI assessed,CEACs/CEAFs presented,Validation,Callibration,Code/Data Availability,Reporting guideline used,Model Adaptation,Type of funding sources,Conflict of interest
1,Aminde et al. (2019),Cameroon,Cameroon,2019,Impact analysis,Primary,Diet,A 30% relative reduction in population wide sodium intake,Status quo,"Ischemic heart disease, ischaemic stroke, hemorrhagic stroke and hypertensive heart disease",None,Proportional multi-state life table Markov model,N/A,Not stated,3%,Not specified,Lifetime,Annual,DISMOD II with PSA in Ersatz,deaths averted and HALYs,Sex (male vs female),One way and PSA,N/A,N/A,Not stated,Not stated,Not stated,Not stated,N/A,External,None declared
2,Aminde et al. (2020),Cameroon,Cameroon,2020,Cost utility analysis,Primary,Diet,"Population salt reduction strategies: 
1. Mass media campaigns
2. School-based salt education programme
3. Low-sodium salt substitute",Status quo,"Ischemic heart disease, ischaemic stroke, hemorrhagic stroke and hypertensive heart disease",None,Proportional multi-state life table Markov model,N/A,Healthcare System,3%,Not specified,Lifetime,Annual,DISMOD II with PSA in Ersatz,HALYs,None,One way and PSA,No,No,Not stated,Not stated,Not stated,CHEERS ,N/A,Not declared,None declared
3,Basu et al. (2019),South Africa,South Africa,2019,Cost utility analysis,Both,Pharmacological,WHO package for essential NCD (PEN) interventions,South Africa Primary Care 101 guidelines,"Atherosclerotic CVD
Congestive heart failure
","1. Renal failure or end stage renal disease
2. Diabetic retinopathy
3. Diabetic neuropathy",Microsimulation,"1. WHO ISH risk equation for the South African population for WHO PEN guidelines
2. Harvard/NHANES risk calculations used to SA PC 101 guideline
3. RECODe equations used to compute diabetes complications
",Healthcare System,3%,16 years,Lifetime,Annual,R software,DALYs,"Sex, race and socioeconomic status


",One way only,No,No,Not stated,,Link to Internal repository provided,CHEERS ,N/A,External,None declared
4,Basu et al. (2021),Multicountry (67 countries from 15 world regions),Multicountry,2021,Cost utility analysis,Both,Pharmacological,Different scaleup scenarios of hypertension and diabetes interventions under the WHO PEN 2020 guidelines ,Status quo,"Myocardial infarction, stroke, congestive heart failure",diabetes & CVD complications,Microsimulation,"2019 WHO CVD risk equations (lab based and office based risk estimates) by region
RECoDE risk equation used to estimate the complications of diabetes",Not stated,3%,Sampled from the population distribution,10 years,N/A,R software,deaths averted and DALYs,None,Not stated,No,No,Not stated,Not stated,Model code available on Github,CHEERs,N/A,External,Declared from some authors who received fundings from organizations some who have interest in diabetes care
5,Bertram et al. (2021),Eastern sub-Saharan Africa and South East Asia,Multicountry,2021,Cost utility analysis,Both,Multiple interventions,77 interventions for the prevention and control of NCDs and mental and neurological disorders,No intervention,Not specified,multiple diseases included,Not reported,Not stated,Healthcare System,3%,Not specified,Lifetime (100 years),Not stated,One Health Tool (Spectrum),DALYs,None,One way only,No,No,Not done,Not done,Not stated,Not stated,N/A,Not declared,None declared
6,Davari et al. (2022),Ethiopia,Ethiopia,2022,Cost utility analysis,Primary,Pharmacological,Hypertension treatment based on the 2020 ISH guidelines,No treatment,"Coronary heart disease
Stroke","CKD, Diabetes etc",Cohort Markov model,Framingham,Societal,3%,30,Lifetime (80 years),Annual,MS Excel 2010,DALYs,None,One way and PSA,No,No,Face validity done,Not stated,Excel model shared in appendix,CHEERS,Adapted CVD policy model to the ethiopian context,Not funded,None declared
7,Ekwunife et al. (2013),Nigeria,Nigeria,2013,Cost utility analysis,Primary,Pharmacological,"Comparison of four classes of antihypertensives (thiazides, beta blocker, ACE inhibitor and CCB)",Treatment options compared against each other,Coronary heart disease and stroke,None,Cohort Markov model,Framingham,Healthcare Provider,3%,40,30 years,Annual,MS Excel 2007,QALYs,None,PSA Only,Yes,Yes,Not stated,Not stated,Not stated,N/A,None,Self funded,None declared
8,Gad et al. (2020),Ghana,Ghana,2020,Cost utility analysis,Primary,Pharmacological,"Comparison of five classes of antihypertensives (thiazides, beta blocker, ACE inhibitor, ARBs, and CCB)
","Treatment options compared against each other
","Coronary heart disease, stroke and heart failure",None,Cohort Markov model,Not used,Healthcare System,3%,20,Lifetime,Annual,Ms Excel,DALYs,None,One way and PSA,No,Yes,Not stated,Not stated,Stated as available under CC license,IDSI reference case checklist,"Adapted from a 2006 model submitted for the update of the UK, National Institute for Health and Care Excellence (NICE) clinical guideline on hypertension",External,Declared for 1 author who is a members of iDSI board
9,Gaziano et al. (2005),South Africa,South Africa,2005,Cost utility analysis,Primary,Pharmacological,"Risk stratified hypertension treatment
",No hypertension treatment,"Myocardial infarction,
Cardiac Arrest
Angina
Cerebrovascular accident",None,Cohort Markov model,Framingham ,Not stated,3%,35,10 years,Annual,Tree Age Pro,QALYs,None,One way and PSA,No,No,Model results  compared with other country statistics and published estimated,Not stated,Not stated,Not stated,N/A,Not declared,None declared
10,Gaziano et al. (2006),"Multicountry study
Low and middle income countries",Multicountry study,2006,Cost utility analysis,Both,Pharmacological,Evaluation of different treatment options  for primary and secondary CVD prevention,Treatment strategies compared against each other,"Coronary heart disease (myocardial infarction, angina and derebrovascular accident) and stroke",None,Cohort Markov model,Framingham ,Societal,3%,35,Lifetime,,Tree Age Pro,QALYs,None,One way and PSA,No,No,Not stated,Not stated,Not stated,Not stated,N/A,External,None declared
